comment,label
ياصاحفة الذل انتم من تاءتون بالاخبار الزاءفة اخباركم كلها كذب لماذا لم تستضيفوا لحد الان من شل بالتلقيح واهالي من مات ولماذا لم تستضيفوا المعارضين للقاح ولاتتكلمون عن غلاء المعيشة,0
جارنا دارها عاد شي يومين رگدات عليه يديه ورجليه داو لطبيب قاليهم ماشي التلقيح وهو غير دار تلقيح داك الساعة طاح مفهمتش علاش الاعلام تتكدب,0
"إذا كان جسدي ملكي فأنا حر في أخذ اللقاح أو رفضه، إذا كان جسدي ملك للدولة فعليها التكفل بطعامه و شرابه و دواءه و راحته قبل التفكير في تلقيحه
🚫 #لا_للفاشية_الصحية
🚫 #لا_لإجبارية_التلقيح
🚫 #لا_للتلقيح_الإجباري
🚫 #لا_لجواز_التلقيح
🚫 #جواز_التلقيح_ميز_عنصري
🚫 #لا_لتلقيح_الأطفال",0
انا مدرت حتى جرعة كنتسنا حتى الجرعة ديال الحلقة الاخير عاد نديرها المشكيل انني معرفتش امتى غتكون الحلقة الاخيرة المهم انا كنتسنا,1
انا الزوجة ديالي دارت غير التانية دبا هادي كثر من شهرين او هي دراعها كيضرها مواقع التواصل الاجتماعي كيقولو الحقيقة,0
ليس بإشاعة مع تجربتي مند عملت اللقاح وانا مريض واوجاع على مستوى الرأس الى يومنا هدا .حسبنا الله ونعم الوكيل,0
انا مدرت حتی جي جرعة لا الاولی لاتانية لا تالتة اومغاديش ندرهم الحمد لله كنحس براسي مزين امتی كان الدواء كيتعطی فابور سيرو داويو الناس لطيحين في المستشفايات,0
"الأولى والثانية ماحسيت بوالو
من نهار درنا التلقيح الثالتة انا والزوجة ديالي وصحتنا رجعات اللور وكلنا عليهم الله",0
والله أنا تلقحت ومرة راضي، ما حسيت بأي آلام والحمد لله. اللهم احفظنا واحمينا,1
واحد جاري ضرب الجرعة الثانية و هو يتشلل اش غايزد عاد ؟،بغيتو تقتلو مرة ؟,0
انا مرتش وبخير ومغنديرش كاع هذا جسدي ملكي ندير فيه لي كال لي راسي وتلقحو نتومة بعدا ماشي تبينو لينا غير تصاور ديال الكدوب هانية تجربو فشعب انتم لا غالين بلا حساب حنا نسواو دوبابة,0
"خلي لقاح يخسار حسين ميخسار انسان
فصحتو",0
الجرعة الثالثة باش خايبة فيها الجرعة الرابعة والخامسة والسادسة الى ما لا نهاية,0
انا اختي مند الجرعة الثانية وشعرها يتساقط وخالتي انقطعت عنها العادة الشهرية la règle,0
علامن بغين تكدبو كلشي تورق للناس ركوم هي كضيعو الفلوقة,0
خليونا من النظري و الشفوي الحالات لا تكذب ما يمكنش اللعب فهاذ الأمور شفنا حالات كثيرة و تتكرر لا داعي للنكران ان كان يهمكم مصلحة الشعب كما تدعون فلماذا لا تلجأ القناة لحوار مع المتضررين لماذا لا تنجز تحقيق في الأمر و تتميز بالتحايد مع الأسف الفيسبوك ابان عن نواياكم و قلة احترافيتكم الفيسبوك يبين الحقيقة كما هي بدون زواق انت كسلطة رابعة مطالبون بالبحث عن هؤلاء الأشخاص المتضررين لإيصال صوتهم انتم تقدمون الأمر على أنه اخبار زائفة و اشاعات. يعني تتخذون موقفا من البداية و تعطون الظهر لهؤلاء المتضررين,0
لا حول ولا قوة الا بالله العلي العظيم الله يخد الحق فالظالمين كاين لي تشلل كاين لمات بسبب اللقاح الله انتقم منكم,0
الجرعة التالية خطيرة جداً,0
الأولى تسببت في مضاعفات الكحة بصفة داءمة واختناق بالليل رغم الادوية,0
عدد كبير ديال المواطنين داروا التلقيح وخرج ليهم على صحتهم وحتى واحد معقل عليهم التلقيح غير آمن,0
دب نصدقوكوم ونكذبو صحتنا انا منهار درت التلقيح الاولى والثانية كتفي يضرني اقراري لا لثالثة قالو ناس نتاع زمان سال لمجرب لا تسال طبيب او كذبو ناس زمان تاهوما,0
درت الأولى والثانية والثالثة وعمري60 سنة وبخير والحمدلله مكاين واااالو وتنتسنا الرابعة والله العضيم,1
و ماذا عن الناس الذين ماتوا و الذين تأذوا من اللقاح؟,0
ما هذا النفاق؟ اخباركم في واد و الحقيقة في واد ، الناس صدقوكم في البداية ا دارت الجرعتين و الان تعاني اما كثرت الوفيات فهو الدليل الكبير على كذبكم.,0
ما ملقحيانش وما ملقحيانش بارك مين دكاشي ديالكم جايب لا ين بن موسي القرارت باش تالهيون بيهم باش ينسوا الناس التلقيح ورجعتو نتم كاتقلو واش كادير ولا ما كتدير,0
الجرعة الثالثة خطيرة جدا. دارتها عمتي وخالتي مقادرين يقفز مزال . هده حقيقة,0
الجرعة القاتلة وقتلت وقتلت وبالدليل,0
حنا هاد الحرعتين هلكونا في صحتنا عاد نزيدو دراعي ولا انمل واركد علي الله يخد فيهم الحق,0
على من تكذبي يا النجمة السداسية واش الناس كتيق بكلام الإشهار و الريكلام .. ناس شادة الملاير باش تجرب في الفيران ديالها و مضات العقود و خايفة تفضح و ناس كارية دولة تجرب فيها الميكرو تيكنولوجيا الدقيقة ديالها ..كاين اللي مشا الشوف كاين اللي مشا الجوف كاين اللي غير زاطم بحال الحلوف .,0
"سمعنا عن عواقب الحقنة الثالثة ورغم ذلك تلقيتها
ولكن الاخبار ليست موثوقة من وزارة الصحة ولدي ثقة بها
انا راني عادي والحمد لله لم تسبب لي بأعراض",1
"شعري تساقط وصار عندي تخثر في الدورة الدموية ما اقدر اتمشي
بعيدة عن باب الدار احس بجسمي ثقيل
طول اليوم نايمة وخرجت في رجلية",0
الناس دكو لبرة ومراضو ماشي واحد ماشي جوج ونتوما ليعجبكم قولوها نتوما راه مايمكنش يادلي تقولو لناس راه ضارة الله ايجيب شي رحمة منعدو تكون في قلوبكم ترحمو على عباد الله كثرتو علينا كل مرة كاين مرض كدا مرض كدا هادشي بزاف خليو الناس فتيقار,0
ليست إشاعة فقبل يومين توفي رجل بالجرعة الثالثة بعد ربع ساعة بعين المكان وترك يتامى,0
ناس درتهوم اشي مات كني مكنعرفهوم نقولو كدب نس قتلتوهم,0
حتا انا ما عقل عليا حد .درت لجرعا تانية وانا نمرض. حياتي كاملا ما عمرني مرض .و دابا راه ليد تاعي ماكاتخليني نعس لحودود ليوم ٣ اشهور,0
جرعة الخرا والله لا درناها واخا نعرفو نوقفو هاد البلاد سالينا من الكدوب لي دار 2 و ضحكتو عليه ما تزيدوش ضحكو علينا صافي,0
حنا كدبتو علينا و وهمتونا ان الحقنة هي الحل و دبا عقنا بيكوم و الويل لكم يوم تعرضونا على ملك الملوك و متنساوش فقد خاب من حمل ظلما الحق ديال الناس لي قتلاتهم دوك الجرعات و لي سببات ليهوم عاهات مستديمة فرقبتكم الى يوم الدين و شوف داك السعات هل سينفعك منصبك كوزير,0
كما كانت الجرعتين هما جرعتي نهاية كورونا و العودة للحياة الطبيعية,1
الناس عرفت كل شيء وتستعد لما هو قادم وفقدت الثقة في الحكومة وحداد على المغرب والمغاربة,0
ستصبح الجرعة التي تنهي حياة او ماوتبقى من الصحة للانسان,0
الجرعة التي ستنهي الأمل والمستقبل والحياة,0
"اشريف لقاح ليس له فعالية في حماية صاحبه من العدوى ويبقى الملقح ايضا ناقلا للفيروس.
اذا هنا يطرح السؤال حوا نجاعة اللقاح.
والجرعة 3 تعطى فقط للمسنين ماشي تعمم على الجميع.
شاب في مقتبل العمر راه مناعته تساوي 10 اضعاف رجل مسن، وهو لا يحتاج التلقيح بصفة عامة ويبقى اختياري ماشي بزز وماشي بتضييق الحريات بش غتربحو تقة الشعب، زدتو كرهتونا فالمنضومة السياسية فالبلاد.",0
